FileFormat,CSV
Year,2021
Month,05
Day,03
Hour,18
Minute,48
Second,52
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"2968"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,gpsalt
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m
Data,   0.0, 841.33, 7.56,76.20,  0.06, 45.64, 40.58838,-105.14799,, 1572.8
Data,   1.0, 841.33, 7.56,76.40,  0.17, 45.64, 40.58838,-105.14799,, 1573.1
Data,   2.0, 841.18, 7.55,76.40,  0.47, 45.64, 40.58838,-105.14799,, 1574.8
Data,   3.0, 840.80, 7.52,76.00,  1.78,129.20, 40.58837,-105.14799,, 1577.5
Data,   4.0, 840.38, 7.49,75.60,  2.25,150.17, 40.58835,-105.14800,, 1580.7
Data,   5.0, 840.07, 7.44,75.40,  2.61,179.40, 40.58833,-105.14800,, 1583.9
Data,   6.0, 839.71, 7.38,75.30,  3.42,201.83, 40.58831,-105.14802,, 1587.3
Data,   7.0, 839.25, 7.33,75.20,  3.41,234.79, 40.58831,-105.14806,, 1592.4
Data,   8.0, 838.92, 7.27,75.40,  1.94,288.45, 40.58832,-105.14808,, 1597.1
Data,   9.0, 838.60, 7.22,75.60,  1.94,328.82, 40.58834,-105.14808,, 1601.2
Data,  10.0, 838.15, 7.16,75.50,  1.41,359.81, 40.58835,-105.14807,, 1605.7
Data,  11.0, 837.73, 7.11,75.50,  0.68,359.81, 40.58835,-105.14806,, 1611.1
Data,  12.0, 837.29, 7.04,75.50,  1.79,264.56, 40.58834,-105.14807,, 1616.1
Data,  13.0, 836.91, 6.98,75.60,  3.91,216.49, 40.58831,-105.14808,, 1620.3
Data,  14.0, 836.42, 6.91,75.70,  3.12,214.97, 40.58828,-105.14811,, 1625.2
Data,  15.0, 836.07, 6.87,75.80,  2.91,261.51, 40.58829,-105.14813,, 1630.9
Data,  16.0, 835.62, 6.79,76.00,  2.56,296.07, 40.58830,-105.14816,, 1635.9
Data,  17.0, 835.26, 6.71,76.20,  0.54,296.07, 40.58831,-105.14817,, 1641.3
Data,  18.0, 834.85, 6.65,76.40,  3.19,198.43, 40.58829,-105.14817,, 1644.8
Data,  19.0, 834.53, 6.58,76.70,  4.17,182.18, 40.58826,-105.14815,, 1648.8
Data,  20.0, 834.00, 6.51,77.00,  3.50,166.82, 40.58823,-105.14814,, 1653.4
Data,  21.0, 833.52, 6.44,77.20,  1.91,174.20, 40.58822,-105.14814,, 1659.3
Data,  22.0, 833.05, 6.36,77.50,  2.56,248.04, 40.58822,-105.14817,, 1663.2
Data,  23.0, 832.57, 6.29,77.90,  1.21,248.04, 40.58823,-105.14819,, 1668.5
Data,  24.0, 832.11, 6.19,78.30,  0.61,248.04, 40.58824,-105.14821,, 1672.7
Data,  25.0, 831.77, 6.13,78.70,  1.16,248.04, 40.58824,-105.14820,, 1676.0
Data,  26.0, 831.31, 6.05,79.00,  2.33,160.26, 40.58824,-105.14819,, 1680.3
Data,  27.0, 830.92, 5.99,79.40,  2.14,126.71, 40.58824,-105.14817,, 1685.1
Data,  28.0, 830.47, 5.91,79.70,  1.53,148.53, 40.58824,-105.14815,, 1689.9
Data,  29.0, 829.98, 5.84,80.10,  3.11,178.99, 40.58822,-105.14816,, 1694.9
Data,  30.0, 829.53, 5.76,80.50,  3.59,210.00, 40.58820,-105.14820,, 1700.4
Data,  31.0, 829.23, 5.69,80.80,  3.76,214.05, 40.58817,-105.14823,, 1704.7
Data,  32.0, 828.80, 5.63,81.10,  2.90,196.09, 40.58815,-105.14824,, 1708.3
Data,  33.0, 828.39, 5.57,81.40,  2.91,184.67, 40.58813,-105.14825,, 1712.3
Data,  34.0, 827.96, 5.49,81.80,  2.93,169.86, 40.58810,-105.14824,, 1717.9
Data,  35.0, 827.48, 5.43,82.20,  3.53,167.36, 40.58807,-105.14822,, 1721.9
Data,  36.0, 827.01, 5.37,82.60,  3.69,161.16, 40.58804,-105.14821,, 1726.8
Data,  37.0, 826.54, 5.30,82.90,  2.49,154.34, 40.58802,-105.14819,, 1731.0
Data,  38.0, 826.05, 5.23,83.10,  0.88,154.34, 40.58802,-105.14818,, 1734.6
Data,  39.0, 825.49, 5.16,83.40,  0.69,154.34, 40.58801,-105.14818,, 1739.2
Data,  40.0, 825.10, 5.10,83.70,  2.83,185.28, 40.58801,-105.14820,, 1743.5
Data,  41.0, 824.69, 5.03,84.00,  2.01,171.56, 40.58800,-105.14821,, 1746.0
Data,  42.0, 824.28, 4.99,84.30,  3.07,157.98, 40.58798,-105.14820,, 1750.2
Data,  43.0, 823.91, 4.93,84.50,  2.89,151.80, 40.58796,-105.14818,, 1754.5
Data,  44.0, 823.42, 4.88,84.70,  1.97,141.24, 40.58795,-105.14815,, 1758.3
Data,  45.0, 822.95, 4.82,85.00,  3.30, 81.12, 40.58796,-105.14812,, 1763.1
Data,  46.0, 822.53, 4.75,85.30,  1.36, 81.12, 40.58797,-105.14810,, 1767.3
Data,  47.0, 822.08, 4.71,85.60,  0.85, 91.08, 40.58796,-105.14809,, 1770.4
Data,  48.0, 821.75, 4.66,86.00,  1.52,155.09, 40.58795,-105.14810,, 1773.7
Data,  49.0, 821.35, 4.60,86.30,  2.06,193.40, 40.58795,-105.14811,, 1777.2
Data,  50.0, 820.93, 4.55,86.60,  3.06,203.32, 40.58792,-105.14812,, 1780.9
Data,  51.0, 820.48, 4.51,86.80,  3.28,220.15, 40.58790,-105.14815,, 1784.6
Data,  52.0, 820.08, 4.45,87.00,  1.99,219.12, 40.58788,-105.14817,, 1788.1
Data,  53.0, 819.59, 4.40,87.30,  3.24,196.12, 40.58786,-105.14818,, 1791.9
Data,  54.0, 819.15, 4.36,87.40,  1.78,201.59, 40.58784,-105.14820,, 1796.1
