Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/07/21 17:20:29.000000,2969,3,26.44,60.8,847.35289,1.5182795698924734,-71.0,40.58998,-105.14178,1555.33,11283.408128385276,4,10,1.15,0.0,0.007897777264787569
2021/07/21 17:20:30.000000,2969,4,26.43,60.8,847.3453119999999,1.520430107526882,-70.0,40.58999,-105.1418,1554.25,11283.40616755622,4,9,0.34,0.0,0.007892294527253388
2021/07/21 17:20:31.000000,2969,5,26.44,60.7,847.3908590000001,1.5182795698924734,-70.0,40.58997,-105.14179,1555.24,11283.408383814565,4,10,0.73,0.0,0.007897320076923198
2021/07/21 17:20:32.000000,2969,6,26.45,60.7,847.3745309999999,1.5161290322580647,-71.0,40.58998,-105.1418,1553.88,11283.406991452015,4,9,0.55,0.0,0.007890415135642153
2021/07/21 17:20:33.000000,2969,7,26.46,60.6,847.373281,1.5161290322580647,-70.0,40.58998,-105.14181,1553.67,11283.406422985265,4,10,0.07,0.0,0.00788934917846751
2021/07/21 17:20:34.000000,2969,8,26.46,60.4,847.370703,1.5161290322580647,-71.0,40.58998,-105.14181,1553.61,11283.406422985265,4,9,0.18,0.0,0.00788904450569612
2021/07/21 17:20:35.000000,2969,9,26.46,60.4,847.354453,1.5182795698924734,-71.0,40.58998,-105.14181,1552.77,11283.406422985265,4,9,0.45,0.0,0.007884779086896616
2021/07/21 17:20:36.000000,2969,10,26.47,60.3,847.347812,1.5182795698924734,-70.0,40.58998,-105.14182,1552.96,11283.405854518429,4,9,1.76,0.0,0.007885744281295994
2021/07/21 17:20:37.000000,2969,11,26.48,60.3,847.37125,1.5161290322580647,-72.0,40.58999,-105.14183,1551.79,11283.404462156013,4,10,1.44,0.0,0.007879804134315316
2021/07/21 17:20:38.000000,2969,12,26.48,60.3,847.3772650000001,1.5161290322580647,-71.0,40.59,-105.14185,1550.56,11283.402501326807,4,9,0.27,0.0,0.007873559709682674
2021/07/21 17:20:39.000000,2969,13,26.49,60.2,847.353281,1.513978494623656,-71.0,40.59,-105.14184,1550.31,11283.403069793696,4,9,0.97,0.0,0.007872289842748282
2021/07/21 17:20:40.000000,2969,14,26.5,60.2,847.3516400000001,1.5182795698924734,-72.0,40.59,-105.14185,1549.68,11283.402501326807,4,9,0.46,0.0,0.007869091174148826
2021/07/21 17:20:41.000000,2969,15,26.53,60.3,847.327812,1.5182795698924734,-71.0,40.59,-105.14185,1549.2,11283.402501326807,4,10,1.59,0.0,0.007866653791130322
2021/07/21 17:20:42.000000,2969,16,26.52,60.5,847.3745309999999,1.5118279569892472,-71.0,40.59,-105.14186,1548.93,11283.401932859837,4,9,1.29,0.0,0.007865283159441742
2021/07/21 17:20:43.000000,2969,17,26.53,60.6,847.3579679999999,1.513978494623656,-72.0,40.59001,-105.14186,1549.15,11283.401108964603,4,9,0.63,0.0,0.007866400867773009
2021/07/21 17:20:44.000000,2969,18,26.54,60.6,847.398906,1.5225806451612907,-72.0,40.59,-105.14186,1549.42,11283.401932859837,4,9,0.24,0.0,0.007867771321398504
2021/07/21 17:20:45.000000,2969,19,26.54,60.7,847.309843,1.524731182795699,-72.0,40.59,-105.14185,1549.71,11283.402501326807,4,9,1.42,0.0,0.00786924351058748
2021/07/21 17:20:46.000000,2969,20,26.55,60.7,847.339375,1.524731182795699,-72.0,40.59,-105.14185,1549.84,11283.402501326807,4,9,2.31,0.0,0.007869903635154985
2021/07/21 17:20:47.000000,2969,21,26.55,61.6,847.3579679999999,1.513978494623656,-72.0,40.59,-105.14186,1549.76,11283.401932859837,4,9,1.61,0.0,0.007869497801123584
2021/07/21 17:20:48.000000,2969,22,26.57,62.6,847.3589059999999,1.513978494623656,-72.0,40.59001,-105.14186,1549.77,11283.401108964603,4,9,0.6,0.0,0.007869549154560404
2021/07/21 17:20:49.000000,2969,23,26.59,63.0,847.3483590000001,1.524731182795699,-72.0,40.59001,-105.14186,1549.91,11283.401108964603,4,9,0.55,0.0,0.007870260058028518
2021/07/21 17:20:50.000000,2969,24,26.58,63.2,847.3592960000001,1.5268817204301077,-71.0,40.59001,-105.14185,1550.38,11283.401677431475,4,9,1.17,0.0,0.007872646265898321
2021/07/21 17:20:51.000000,2969,25,26.6,63.3,847.3685929999999,1.5161290322580647,-71.0,40.59001,-105.14185,1550.82,11283.401677431475,4,9,0.52,0.0,0.007874880533828362
2021/07/21 17:20:52.000000,2969,26,26.61,63.7,847.376875,1.513978494623656,-71.0,40.59001,-105.14186,1550.42,11283.401108964603,4,9,2.48,107.23,0.007872849777805203
2021/07/21 17:20:53.000000,2969,27,26.61,64.0,847.3535929999999,1.524731182795699,-71.0,40.59001,-105.14186,1550.42,11283.401108964603,4,10,2.01,107.23,0.007872849777805203
2021/07/21 17:20:54.000000,2969,28,26.63,64.0,847.388125,1.524731182795699,-71.0,40.59002,-105.14187,1550.3,11283.399716602502,4,10,0.97,107.23,0.00787224140340328
2021/07/21 17:20:55.000000,2969,29,26.64,63.8,847.3353900000001,1.5161290322580647,-71.0,40.59002,-105.14187,1550.27,11283.399716602502,4,10,0.52,107.23,0.007872089066927029
2021/07/21 17:20:56.000000,2969,30,26.64,63.5,847.3921869999999,1.513978494623656,-71.0,40.59002,-105.14187,1550.1,11283.399716602502,4,9,1.16,107.23,0.007871225826894946
2021/07/21 17:20:57.000000,2969,31,26.67,63.1,847.362812,1.524731182795699,-71.0,40.59002,-105.14187,1550.15,11283.399716602502,4,10,0.8,107.23,0.007871479721022031
2021/07/21 17:20:58.000000,2969,32,26.67,62.7,847.366093,1.524731182795699,-70.0,40.59002,-105.14187,1550.28,11283.399716602502,4,9,0.95,107.23,0.007872139845752446
2021/07/21 17:20:59.000000,2969,33,26.68,62.3,847.3898429999999,1.5161290322580647,-71.0,40.59002,-105.14187,1550.17,11283.399716602502,4,9,0.63,107.23,0.007871581278672863
2021/07/21 17:21:00.000000,2969,34,26.69,62.1,847.37875,1.5161290322580647,-70.0,40.59003,-105.14188,1549.99,11283.398324240497,4,9,1.53,107.23,0.007870668231049167
2021/07/21 17:21:01.000000,2969,35,26.69,61.9,847.369921,1.5161290322580647,-70.0,40.59003,-105.14187,1550.15,11283.398892707337,4,10,1.39,107.23,0.007871480295784482
2021/07/21 17:21:02.000000,2969,36,26.7,61.7,847.3592960000001,1.524731182795699,-71.0,40.59003,-105.14187,1550.09,11283.398892707337,4,9,0.36,107.23,0.007871175622809734
