FileFormat,CSV
Year,2021
Month,07
Day,21
Hour,17
Minute,54
Second,10
Pressure,,"units=mb"
Temperature,,"units=deg C"
RH,,"units=%"
Speed,,"units=m/s"
Direction,,"units=deg"
Latitude,40.5900,"units=deg"
Longitude,-105.1415,"units=deg"
Altitude,1571.9,"units=m"
GpsAltitude,1571.9,"units=m"
Ascending,"true"
Comments,""
DataType,""
EquipmentType,"0"
PlatformType,""
PlatformId,""
Project,"PRE-CIP-2021"
Flight,""
PtuWindTimeDiff,"0"
RadiationCorr,"0"
TrackingType,"19"
SondeId,"2969"
SondeModel,""
Operator,""
LaunchObsSource,"unknown"
LaunchObsTime,"unknown"
SvnRevision,"V3.4.6"
SvnLastChangedDate,"Fri Apr 30 16:17:27 2021 -0600"
Agency,""
AltInterpSpan,"60"
AspenVersion,"Aspen V3.4.6"
BlendLength,"4"
CabinTemp,"25"
ChuteArea,"900"
ConfigSetName,"upsonde-1s"
DatasetDOI,""
DiscardBadCrcData,"1"
DoQC,"1"
DragCoef,"0.61"
DropSondeMass,"320"
DropsondeHitSfc,"1"
Flight,""
GPSAltBuddySlope,"50"
GPSAltQCDev,"50"
GPSAltQCWL,"10"
GPSPosBuddySlope,"0.005"
GPSPosQCDev,"0.01"
GPSPosQCWL,"30"
IgnoreLaunchAlt,"0"
IgnoreLaunchLat,"0"
IgnoreLaunchLon,"0"
IgnoreLaunchPres,"0"
IgnoreLaunchRH,"0"
IgnoreLaunchTdry,"0"
IgnoreLaunchWdir,"0"
IgnoreLaunchWspd,"0"
ObsNum,"99"
PlatformId,""
PlatformType,""
PosInterpSpan,"60"
PresBuddySlope,"2"
PresEquilTimeOverride,"0"
PresMonoCheck,"1"
PresOffset,"0"
PresOutlier,"10"
PresQCDev,"3"
PresQCWL,"10"
PresSmoothWL,"10"
ProcessingTime,"23 Jul 2021 04:27 UTC"
Project,"PRE-CIP-2021"
QCDisclaimer,""
RHBuddySlope,"20"
RHEquilTimeOverride,"0"
RHOffset,"0"
RHOutlier,"10"
RHQCDev,"3"
RHQCWL,"10"
RHSmoothWL,"5"
RHThreshold,"0"
RHchoice,"0"
ReportObservedPos,"1"
SetHtsMissing,"0"
SfcAltUnknown,"0"
SfcAltitude,"1571.9"
SondeId,"2969"
SoundingDescription,"no_2969_L1_aspen.csv "
TdryBuddySlope,"3"
TdryDynCor,"0"
TdryDynCorWL,"60"
TdryEquilTimeOverride,"0"
TdryOffset,"0"
TdryOutlier,"10"
TdryQCDev,"0.5"
TdryQCWL,"10"
TdrySmoothWL,"10"
UseIgnoredLaunch,"1"
UseTheoryVentRate,"1"
WindBuddySlope,"5"
WindDisableW,"0"
WindDynCor,"0"
WindDynCorWL,"60"
WindEquilTime,"10"
WindErrorHigh,"1.5"
WindErrorLow,"1"
WindOutlier,"10"
WindQCDev,"3"
WindQCWL,"10"
WindSats,"4"
WindSmoothWL,"40"
WindVVPresWL,"5"
WindVVdelta,"2.5"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,Altitude,GPS Altitude,Dewpoint,Uwnd,Vwnd,Ascent
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,m,deg C,m/s,m/s,m/s
Data,0.0,846.98,30.40,45.40,0.09,319.97,40.59024,-105.14144,1571.9,1555.5,17.54,0.06,-0.07,1.65
Data,1.0,,30.38,45.58,1.53,224.67,40.59024,-105.14144,,1555.5,17.59,1.08,1.09,
Data,2.0,846.82,30.34,45.75,1.74,230.33,40.59024,-105.14144,1573.6,1555.8,17.60,1.34,1.11,2.48
Data,3.0,846.53,30.28,45.88,1.96,234.79,40.59024,-105.14144,1576.7,1557.4,17.59,1.60,1.13,3.34
Data,4.0,846.14,30.20,45.88,2.17,238.45,40.59024,-105.14146,1580.8,1561.6,17.52,1.85,1.14,4.19
Data,5.0,845.68,30.10,45.75,2.37,241.71,40.59021,-105.14150,1585.7,1567.4,17.38,2.08,1.12,4.94
Data,6.0,845.17,29.98,45.68,2.53,244.87,40.59017,-105.14151,1591.0,1573.0,17.25,2.29,1.08,5.42
Data,7.0,844.64,29.84,45.81,2.67,248.05,40.59011,-105.14152,1596.7,1577.8,17.16,2.48,1.00,5.68
Data,8.0,844.09,29.69,46.07,2.77,251.32,40.59007,-105.14158,1602.5,1582.8,17.12,2.62,0.89,5.75
Data,9.0,843.55,29.54,46.39,2.83,254.71,40.59007,-105.14165,1608.2,1591.0,17.08,2.73,0.75,5.69
Data,10.0,843.02,29.39,46.70,2.86,258.11,40.59008,-105.14170,1613.8,1597.2,17.05,2.79,0.59,5.58
Data,11.0,842.51,29.23,47.01,2.86,261.39,40.59012,-105.14171,1619.2,1602.8,17.01,2.82,0.43,5.48
Data,13.0,841.51,28.93,47.70,2.80,267.40,40.59019,-105.14176,1629.8,1615.6,16.96,2.79,0.13,5.51
Data,14.0,840.99,28.78,48.04,2.75,270.22,40.59019,-105.14180,1635.4,1622.6,16.93,2.75,-0.01,5.58
Data,15.0,840.45,28.63,48.38,2.69,272.92,40.59018,-105.14185,1641.1,1628.5,16.90,2.69,-0.14,5.64
Data,16.0,839.90,28.48,48.77,2.65,275.50,40.59016,-105.14188,1646.9,1637.1,16.89,2.64,-0.25,5.57
Data,17.0,839.37,28.33,49.18,2.62,277.83,40.59013,-105.14187,1652.6,1644.9,16.87,2.60,-0.36,5.37
Data,18.0,838.86,28.17,49.57,2.62,279.62,40.59014,-105.14182,1657.9,1653.3,16.85,2.58,-0.44,5.11
Data,19.0,838.40,28.02,50.00,2.63,280.54,40.59020,-105.14179,1662.8,1659.1,16.85,2.59,-0.48,4.81
Data,20.0,837.99,27.88,50.50,2.65,280.49,40.59026,-105.14182,1667.2,1663.4,16.87,2.61,-0.48,4.65
Data,21.0,837.57,27.74,50.98,2.68,279.69,40.59029,-105.14187,1671.7,1668.0,16.89,2.64,-0.45,4.63
Data,22.0,837.12,27.61,51.33,2.68,278.39,40.59029,-105.14193,1676.4,1673.0,16.88,2.66,-0.39,4.69
Data,23.0,836.67,27.49,51.64,2.67,276.88,40.59026,-105.14198,1681.2,1676.2,16.86,2.65,-0.32,4.80
Data,24.0,836.21,27.37,52.00,2.64,275.47,40.59021,-105.14202,1686.1,1678.2,16.85,2.63,-0.25,4.91
Data,25.0,835.74,27.25,52.39,2.58,274.41,40.59018,-105.14206,1691.1,1683.6,16.86,2.57,-0.20,5.00
Data,26.0,835.27,27.14,52.77,2.49,273.67,40.59015,-105.14211,1696.1,1689.2,16.86,2.49,-0.16,5.07
Data,27.0,834.79,27.02,53.17,2.37,273.13,40.59015,-105.14217,1701.2,1694.6,16.87,2.37,-0.13,5.11
Data,28.0,834.30,26.91,53.59,2.22,272.61,40.59016,-105.14225,1706.3,1698.1,16.89,2.22,-0.10,5.10
Data,29.0,833.81,26.80,53.98,2.06,271.85,40.59020,-105.14230,1711.5,1703.8,16.90,2.06,-0.07,5.03
Data,30.0,833.34,26.69,54.22,1.89,270.53,40.59024,-105.14230,1716.6,1709.5,16.87,1.89,-0.02,4.93
Data,31.0,832.88,26.59,54.33,1.72,268.55,40.59025,-105.14226,1721.4,1714.0,16.81,1.72,0.04,4.82
Data,32.0,832.45,26.49,54.48,1.57,266.10,40.59023,-105.14224,1726.0,1718.7,16.76,1.57,0.11,4.76
Data,33.0,832.01,26.40,54.76,1.46,263.47,40.59019,-105.14224,1730.6,1722.8,16.75,1.45,0.17,4.79
Data,34.0,831.56,26.31,55.05,1.36,260.68,40.59018,-105.14228,1735.5,1727.7,16.74,1.34,0.22,4.84
Data,35.0,831.09,26.22,55.20,1.28,257.59,40.59021,-105.14235,1740.5,1733.6,16.70,1.25,0.28,4.88
Data,36.0,830.62,26.13,55.30,1.22,254.11,40.59025,-105.14239,1745.4,1738.3,16.65,1.17,0.33,4.88
Data,37.0,830.17,26.04,55.48,1.17,250.34,40.59026,-105.14236,1750.3,1741.4,16.61,1.10,0.39,4.85
Data,38.0,829.72,25.96,55.72,1.14,246.49,40.59024,-105.14234,1755.1,1744.6,16.61,1.05,0.46,4.78
Data,39.0,829.27,25.88,55.95,1.13,242.94,40.59022,-105.14234,1759.8,1748.5,16.60,1.01,0.51,4.70
Data,40.0,828.84,25.81,56.13,1.12,240.04,40.59020,-105.14238,1764.5,1753.0,16.58,0.97,0.56,4.60
Data,41.0,828.40,25.74,56.29,1.10,237.96,40.59021,-105.14243,1769.0,1756.5,16.56,0.93,0.58,4.46
Data,42.0,827.99,25.68,56.42,1.07,236.71,40.59022,-105.14248,1773.5,1759.0,16.53,0.89,0.59,4.30
Data,43.0,827.59,25.61,56.52,1.01,236.24,40.59025,-105.14250,1777.7,1763.7,16.50,0.84,0.56,4.15
Data,44.0,827.22,25.55,56.56,0.94,236.74,40.59024,-105.14248,1781.7,1767.2,16.45,0.78,0.51,4.04
Data,45.0,826.86,25.49,56.48,0.84,238.83,40.59021,-105.14246,1785.5,1772.3,16.38,0.72,0.44,4.00
Data,46.0,826.48,25.44,56.28,0.72,243.68,40.59019,-105.14247,1789.6,1775.0,16.27,0.65,0.32,4.01
Data,47.0,826.09,25.38,56.02,0.60,252.71,40.59018,-105.14250,1793.7,1780.5,16.15,0.57,0.18,4.01
Data,48.0,825.71,25.33,55.81,0.49,268.01,40.59019,-105.14253,1797.7,1783.0,16.04,0.49,0.02,4.00
Data,49.0,825.34,25.28,55.72,0.41,291.77,40.59021,-105.14257,1801.7,1784.4,15.97,0.38,-0.15,3.96
Data,50.0,824.97,25.23,55.74,0.42,319.96,40.59023,-105.14256,1805.7,1790.2,15.92,0.27,-0.32,3.91
Data,51.0,824.61,25.18,55.82,0.50,342.39,40.59024,-105.14255,1809.6,1792.6,15.90,0.15,-0.47,3.85
Data,52.0,824.25,25.14,55.86,0.61,356.92,40.59025,-105.14250,1813.4,1796.9,15.87,0.03,-0.61,3.81
Data,53.0,823.90,25.10,55.87,0.72,6.56,40.59028,-105.14247,1817.1,1801.9,15.84,-0.08,-0.71,3.79
Data,54.0,823.55,25.06,55.81,0.81,13.66,40.59031,-105.14247,1820.9,1805.5,15.79,-0.19,-0.79,3.79
Data,55.0,823.19,25.03,55.68,0.89,19.73,40.59034,-105.14249,1824.7,1809.8,15.72,-0.30,-0.84,3.80
Data,56.0,822.83,24.99,55.67,0.96,25.70,40.59034,-105.14252,1828.5,1814.0,15.68,-0.42,-0.86,3.81
Data,57.0,822.48,24.95,55.79,1.03,31.90,40.59032,-105.14253,1832.3,1817.4,15.68,-0.54,-0.87,3.82
Data,58.0,822.12,24.92,55.98,1.10,37.95,40.59030,-105.14252,1836.1,1821.7,15.70,-0.68,-0.87,3.84
Data,59.0,821.76,24.88,56.20,1.18,43.39,40.59031,-105.14249,1840.0,1826.8,15.72,-0.81,-0.86,3.86
Data,60.0,821.40,24.84,56.51,1.27,47.96,40.59034,-105.14248,1843.9,1831.7,15.77,-0.94,-0.85,3.89
Data,61.0,821.03,24.80,57.02,1.36,51.73,40.59038,-105.14246,1847.8,1836.8,15.87,-1.07,-0.84,3.92
Data,62.0,820.67,24.75,57.73,1.44,54.83,40.59039,-105.14248,1851.7,1838.2,16.02,-1.18,-0.83,3.97
Data,63.0,820.30,24.71,58.43,1.52,57.25,40.59041,-105.14249,1855.6,1844.0,16.17,-1.28,-0.82,4.01
Data,64.0,819.92,24.68,58.80,1.58,58.92,40.59040,-105.14248,1859.7,1847.8,16.23,-1.35,-0.82,4.04
Data,65.0,819.54,24.64,58.42,1.63,59.76,40.59040,-105.14244,1863.8,1853.2,16.10,-1.41,-0.82,4.03
Data,66.0,819.16,24.61,56.86,1.66,59.81,40.59042,-105.14241,1867.9,1857.5,15.65,-1.43,-0.83,3.98
Data,67.0,818.79,24.59,54.30,1.67,59.11,40.59044,-105.14240,1871.9,1859.6,14.92,-1.43,-0.86,3.92
Data,68.0,818.43,24.57,51.74,1.67,57.67,40.59046,-105.14241,1875.7,1862.2,14.17,-1.41,-0.89,3.87
Data,69.0,818.08,24.56,49.92,1.65,55.51,40.59048,-105.14241,1879.4,1866.6,13.61,-1.36,-0.93,3.86
Data,70.0,817.72,24.56,48.78,1.62,52.64,40.59049,-105.14241,1883.3,1871.2,13.26,-1.29,-0.98,3.92
Data,71.0,817.35,24.55,47.91,1.59,49.08,40.59049,-105.14239,1887.3,1874.6,12.98,-1.20,-1.04,4.00
Data,72.0,816.97,24.55,47.01,1.56,44.79,40.59050,-105.14237,1891.4,1880.0,12.70,-1.10,-1.11,4.10
Data,73.0,816.58,24.56,46.14,1.53,39.80,40.59052,-105.14236,1895.5,1883.8,12.42,-0.98,-1.17,4.19
Data,74.0,816.19,24.57,45.43,1.50,34.23,40.59053,-105.14236,1899.7,1887.8,12.19,-0.85,-1.24,4.29
Data,75.0,815.79,24.58,44.90,1.49,28.30,40.59055,-105.14237,1904.0,1892.3,12.03,-0.71,-1.31,4.36
Data,76.0,815.38,24.59,44.50,1.49,22.23,40.59056,-105.14237,1908.4,1895.7,11.91,-0.56,-1.37,4.41
Data,77.0,814.97,24.61,44.15,1.49,16.19,40.59056,-105.14235,1912.9,1900.1,11.80,-0.42,-1.43,4.41
Data,78.0,814.56,24.62,43.82,1.51,10.37,40.59057,-105.14235,1917.3,1903.1,11.70,-0.27,-1.49,4.35
Data,79.0,814.15,24.63,43.52,1.54,4.99,40.59059,-105.14235,1921.7,1908.1,11.61,-0.13,-1.54,4.24
Data,80.0,813.76,24.65,43.29,1.58,0.26,40.59062,-105.14236,1925.9,1912.7,11.55,-0.01,-1.58,4.08
Data,81.0,813.40,24.67,43.12,1.61,356.33,40.59064,-105.14240,1929.8,1915.2,11.50,0.10,-1.61,3.92
Data,82.0,813.05,24.69,42.99,1.65,353.23,40.59064,-105.14243,1933.6,1918.4,11.48,0.19,-1.64,3.79
Data,83.0,812.70,24.71,42.89,1.69,350.96,40.59063,-105.14245,1937.3,1921.9,11.47,0.27,-1.67,3.71
Data,84.0,812.36,24.73,42.80,1.74,349.50,40.59063,-105.14245,1941.0,1925.4,11.45,0.32,-1.71,3.66
Data,85.0,812.02,24.75,42.70,1.79,348.72,40.59063,-105.14245,1944.7,1928.1,11.43,0.35,-1.76,3.65
Data,86.0,811.68,24.76,42.60,1.85,348.49,40.59064,-105.14246,1948.3,1930.0,11.41,0.37,-1.82,3.67
Data,87.0,811.34,24.77,42.50,1.92,348.66,40.59065,-105.14247,1952.0,1934.0,11.39,0.38,-1.88,3.72
Data,88.0,811.00,24.79,42.43,2.00,349.05,40.59066,-105.14248,1955.7,1937.9,11.37,0.38,-1.96,3.80
Data,89.0,810.65,24.80,42.37,2.07,349.50,40.59066,-105.14246,1959.5,1941.2,11.36,0.38,-2.04,3.89
Data,90.0,810.28,24.81,42.30,2.16,349.86,40.59068,-105.14244,1963.5,1945.5,11.35,0.38,-2.12,3.98
Data,91.0,809.90,24.82,42.23,2.23,349.98,40.59072,-105.14242,1967.6,1951.2,11.33,0.39,-2.20,4.03
Data,92.0,809.52,24.83,42.17,2.30,349.80,40.59076,-105.14242,1971.8,1957.5,11.32,0.41,-2.27,4.03
Data,93.0,809.15,24.83,42.10,2.36,349.36,40.59079,-105.14244,1975.8,1961.9,11.30,0.44,-2.32,3.98
Data,94.0,808.79,24.84,42.03,2.41,348.68,40.59082,-105.14245,1979.6,1965.9,11.28,0.47,-2.36,3.96
Data,95.0,808.44,24.84,42.00,2.44,347.81,40.59084,-105.14246,1983.5,1968.5,11.27,0.52,-2.39,3.99
Data,96.0,808.07,24.85,41.97,2.46,346.79,40.59087,-105.14246,1987.4,1971.7,11.26,0.56,-2.40,4.05
Data,97.0,807.69,24.85,41.93,2.47,345.66,40.59089,-105.14248,1991.6,1974.9,11.25,0.61,-2.39,4.15
Data,98.0,807.30,24.85,41.90,2.46,344.45,40.59091,-105.14250,1995.9,1979.8,11.25,0.66,-2.37,4.21
Data,99.0,806.90,24.85,41.90,2.44,343.19,40.59093,-105.14253,2000.2,1983.0,11.24,0.70,-2.33,4.24
Data,100.0,806.51,24.85,41.87,2.40,341.91,40.59094,-105.14255,2004.4,1985.7,11.24,0.75,-2.28,4.26
Data,101.0,806.13,24.85,41.83,2.36,340.56,40.59095,-105.14255,2008.6,1989.6,11.22,0.79,-2.22,4.27
Data,102.0,805.74,24.85,41.80,2.31,339.10,40.59096,-105.14255,2012.9,1993.2,11.21,0.82,-2.16,4.29
Data,103.0,805.34,24.84,41.80,2.25,337.49,40.59099,-105.14256,2017.1,1995.9,11.20,0.86,-2.08,4.32
Data,104.0,804.94,24.84,41.77,2.18,335.67,40.59100,-105.14256,2021.5,2000.1,11.19,0.90,-1.99,4.36
Data,105.0,804.54,24.84,41.73,2.11,333.59,40.59102,-105.14258,2025.9,2003.3,11.17,0.94,-1.89,4.39
Data,106.0,804.14,24.83,41.70,2.04,331.19,40.59103,-105.14260,2030.2,2007.0,11.16,0.99,-1.79,4.40
Data,107.0,803.74,24.83,41.70,1.98,328.42,40.59103,-105.14259,2034.7,2010.8,11.15,1.04,-1.69,4.37
Data,108.0,803.33,24.83,41.67,1.92,325.24,40.59103,-105.14258,2039.1,2015.5,11.14,1.10,-1.58,4.31
Data,109.0,802.94,24.83,41.63,1.88,321.64,40.59104,-105.14258,2043.4,2020.3,11.13,1.16,-1.47,4.20
Data,110.0,802.56,24.84,41.60,1.84,317.61,40.59106,-105.14258,2047.5,2025.0,11.13,1.24,-1.36,4.11
Data,111.0,802.19,24.85,41.57,1.83,313.25,40.59107,-105.14259,2051.5,2028.6,11.13,1.33,-1.25,4.04
Data,112.0,801.83,24.87,41.55,1.84,308.70,40.59108,-105.14260,2055.5,2032.5,11.13,1.43,-1.15,4.02
Data,114.0,801.09,24.90,41.56,1.91,299.68,40.59107,-105.14261,2063.6,2040.0,11.16,1.66,-0.94,4.13
Data,115.0,800.71,24.91,41.53,1.97,295.41,40.59109,-105.14263,2067.7,2043.2,11.16,1.78,-0.84,4.25
Data,116.0,800.33,24.91,41.48,2.04,291.42,40.59112,-105.14265,2072.0,2046.9,11.15,1.90,-0.74,4.36
Data,117.0,799.92,24.92,41.43,2.11,287.80,40.59114,-105.14267,2076.4,2051.1,11.14,2.01,-0.65,4.44
Data,118.0,799.51,24.93,41.40,2.19,284.61,40.59115,-105.14269,2081.0,2055.0,11.13,2.12,-0.55,4.44
Data,119.0,799.10,24.93,41.40,2.26,281.91,40.59113,-105.14273,2085.5,2059.4,11.14,2.21,-0.47,4.33
Data,120.0,798.70,24.94,41.37,2.32,279.77,40.59111,-105.14277,2089.8,2063.9,11.14,2.28,-0.39,4.14
Data,121.0,798.34,24.95,41.33,2.36,278.21,40.59110,-105.14281,2093.8,2068.7,11.13,2.34,-0.34,3.92
Data,122.0,798.00,24.97,41.30,2.39,277.10,40.59111,-105.14283,2097.5,2072.6,11.13,2.37,-0.30,3.70
Data,123.0,797.69,24.98,41.27,2.41,276.33,40.59111,-105.14286,2101.0,2074.7,11.13,2.39,-0.27,3.54
Data,124.0,797.37,24.99,41.23,2.40,275.76,40.59112,-105.14289,2104.5,2078.3,11.13,2.39,-0.24,3.43
Data,125.0,797.06,25.00,41.20,2.37,275.25,40.59113,-105.14292,2107.9,2081.0,11.13,2.36,-0.22,3.36
Data,126.0,796.75,25.01,41.20,2.33,274.67,40.59115,-105.14296,2111.3,2084.5,11.14,2.32,-0.19,3.30
Data,127.0,796.46,25.02,41.17,2.27,273.92,40.59116,-105.14299,2114.6,2087.5,11.14,2.27,-0.16,3.27
Data,128.0,796.16,25.03,41.13,2.20,272.97,40.59117,-105.14303,2117.8,2091.0,11.13,2.20,-0.11,3.25
Data,129.0,795.87,25.05,41.10,2.12,271.76,40.59118,-105.14305,2121.0,2094.4,11.13,2.12,-0.07,3.24
Data,130.0,795.57,25.06,41.08,2.03,270.32,40.59118,-105.14308,2124.3,2098.1,11.14,2.03,-0.01,3.25
Data,131.0,795.28,25.07,41.08,1.95,268.70,40.59118,-105.14309,2127.6,2102.2,11.15,1.95,0.04,3.25
Data,132.0,794.98,25.08,41.08,1.88,266.98,40.59118,-105.14311,2130.8,2105.3,11.16,1.87,0.10,3.27
Data,133.0,794.69,25.10,41.05,1.81,265.25,40.59118,-105.14311,2134.1,2109.2,11.16,1.80,0.15,3.30
Data,134.0,794.39,25.11,41.00,1.75,263.61,40.59117,-105.14313,2137.4,2112.5,11.15,1.74,0.20,3.35
Data,135.0,794.09,25.12,41.02,1.71,262.18,40.59117,-105.14314,2140.7,2116.4,11.17,1.69,0.23,3.40
Data,136.0,793.77,25.13,41.10,1.67,261.04,40.59117,-105.14316,2144.2,2119.6,11.21,1.65,0.26,3.47
Data,137.0,793.46,25.14,41.17,1.64,260.24,40.59116,-105.14318,2147.7,2123.0,11.25,1.61,0.28,3.52
Data,138.0,793.14,25.15,41.20,1.61,259.80,40.59116,-105.14320,2151.2,2126.8,11.27,1.58,0.28,3.55
Data,139.0,792.82,25.16,41.18,1.58,259.70,40.59114,-105.14322,2154.8,2129.3,11.26,1.55,0.28,3.55
Data,140.0,792.50,25.16,41.13,1.55,259.92,40.59115,-105.14324,2158.3,2133.5,11.25,1.53,0.27,3.52
Data,141.0,792.18,25.17,41.10,1.52,260.39,40.59115,-105.14327,2161.9,2137.2,11.24,1.50,0.25,3.45
Data,142.0,791.87,25.17,41.10,1.49,261.03,40.59115,-105.14328,2165.3,2140.0,11.24,1.47,0.23,3.36
Data,143.0,791.57,25.17,41.10,1.46,261.78,40.59115,-105.14330,2168.6,2143.3,11.24,1.44,0.21,3.28
Data,144.0,791.28,25.17,41.07,1.43,262.57,40.59115,-105.14331,2171.8,2146.4,11.24,1.42,0.18,3.23
Data,145.0,791.00,25.17,41.03,1.40,263.37,40.59116,-105.14333,2175.0,2149.4,11.22,1.39,0.16,3.23
Data,146.0,790.71,25.17,41.03,1.38,264.18,40.59116,-105.14334,2178.2,2152.8,11.22,1.37,0.14,3.27
Data,147.0,790.41,25.17,41.04,1.36,265.02,40.59116,-105.14336,2181.5,2155.5,11.23,1.35,0.12,3.33
Data,148.0,790.10,25.17,41.05,1.34,265.93,40.59116,-105.14337,2184.9,2158.7,11.23,1.34,0.10,3.41
Data,149.0,789.80,25.16,41.05,1.33,266.92,40.59116,-105.14338,2188.4,2162.0,11.22,1.32,0.07,3.47
Data,150.0,789.48,25.14,41.03,1.32,268.03,40.59116,-105.14339,2191.9,2164.6,11.20,1.32,0.05,3.53
Data,151.0,789.16,25.13,41.03,1.31,269.27,40.59116,-105.14340,2195.4,2168.3,11.18,1.31,0.02,3.55
Data,152.0,788.84,25.11,41.04,1.30,270.65,40.59116,-105.14341,2199.0,2172.3,11.17,1.30,-0.01,3.55
Data,153.0,788.52,25.10,41.06,1.29,272.16,40.59116,-105.14344,2202.6,2176.3,11.17,1.29,-0.05,3.53
Data,154.0,788.20,25.09,41.08,1.28,273.79,40.59116,-105.14346,2206.1,2179.7,11.16,1.28,-0.08,3.49
Data,155.0,787.90,25.08,41.10,1.27,275.53,40.59117,-105.14347,2209.5,2183.0,11.17,1.26,-0.12,3.47
Data,156.0,787.59,25.08,41.10,1.25,277.36,40.59116,-105.14349,2212.9,2187.4,11.16,1.24,-0.16,3.46
Data,157.0,787.28,25.08,41.10,1.23,279.23,40.59116,-105.14351,2216.4,2190.4,11.16,1.22,-0.20,3.47
Data,158.0,786.96,25.07,41.10,1.21,281.08,40.59117,-105.14353,2219.9,2194.6,11.16,1.19,-0.23,3.47
Data,159.0,786.65,25.07,41.13,1.19,282.85,40.59118,-105.14353,2223.4,2198.3,11.16,1.16,-0.26,3.47
Data,160.0,786.34,25.07,41.15,1.16,284.44,40.59119,-105.14353,2226.9,2202.3,11.17,1.12,-0.29,3.46
Data,161.0,786.04,25.07,41.13,1.13,285.79,40.59119,-105.14354,2230.3,2206.0,11.16,1.09,-0.31,3.45
Data,162.0,785.73,25.07,41.10,1.11,286.85,40.59121,-105.14355,2233.7,2209.9,11.15,1.06,-0.32,3.45
Data,163.0,785.42,25.06,41.10,1.08,287.62,40.59120,-105.14355,2237.1,2212.8,11.15,1.03,-0.33,3.44
Data,164.0,785.11,25.06,41.10,1.05,288.12,40.59121,-105.14357,2240.6,2216.6,11.14,1.00,-0.33,3.38
Data,165.0,784.81,25.05,41.10,1.02,288.43,40.59121,-105.14357,2244.0,2219.9,11.14,0.97,-0.32,3.30
Data,166.0,784.51,25.05,41.10,0.99,288.64,40.59120,-105.14359,2247.3,2223.6,11.14,0.94,-0.32,3.21
Data,167.0,784.24,25.05,41.10,0.96,288.78,40.59121,-105.14360,2250.4,2227.5,11.14,0.91,-0.31,3.11
Data,168.0,783.97,25.05,41.10,0.93,288.90,40.59120,-105.14361,2253.4,2230.5,11.14,0.88,-0.30,3.07
Data,169.0,783.69,25.06,41.10,0.90,288.98,40.59121,-105.14362,2256.5,2233.8,11.14,0.85,-0.29,3.06
Data,170.0,783.42,25.06,41.07,0.88,288.88,40.59120,-105.14362,2259.6,2237.0,11.14,0.83,-0.28,3.10
Data,171.0,783.14,25.06,41.03,0.85,288.41,40.59121,-105.14363,2262.7,2240.2,11.12,0.81,-0.27,3.16
Data,172.0,782.86,25.07,41.00,0.84,287.39,40.59122,-105.14362,2265.9,2242.9,11.12,0.80,-0.25,3.25
Data,173.0,782.56,25.07,40.99,0.82,285.70,40.59123,-105.14362,2269.2,2246.5,11.12,0.79,-0.22,3.35
Data,174.0,782.26,25.06,40.97,0.81,283.24,40.59123,-105.14363,2272.6,2249.3,11.10,0.79,-0.19,3.45
Data,175.0,781.95,25.05,40.95,0.81,280.07,40.59124,-105.14363,2276.1,2253.4,11.08,0.80,-0.14,3.54
Data,176.0,781.63,25.02,40.97,0.81,276.39,40.59124,-105.14365,2279.7,2256.7,11.07,0.80,-0.09,3.59
Data,177.0,781.30,25.00,40.99,0.82,272.39,40.59124,-105.14366,2283.3,2260.4,11.05,0.81,-0.03,3.62
Data,178.0,780.98,24.98,41.00,0.83,268.29,40.59123,-105.14367,2287.0,2263.8,11.03,0.83,0.02,3.63
Data,179.0,780.66,24.96,41.03,0.84,264.29,40.59124,-105.14368,2290.6,2268.0,11.03,0.84,0.08,3.61
Data,180.0,780.34,24.94,41.07,0.86,260.51,40.59123,-105.14369,2294.2,2271.6,11.03,0.84,0.14,3.59
Data,181.0,780.02,24.92,41.10,0.87,256.97,40.59123,-105.14370,2297.7,2275.2,11.02,0.85,0.20,3.56
Data,182.0,779.71,24.90,41.10,0.89,253.68,40.59123,-105.14371,2301.3,2278.5,11.00,0.85,0.25,3.53
Data,183.0,779.39,24.88,41.10,0.91,250.63,40.59123,-105.14373,2304.8,2281.7,10.99,0.85,0.30,3.51
Data,184.0,779.09,24.86,41.13,0.92,247.81,40.59122,-105.14373,2308.3,2284.9,10.98,0.85,0.35,3.50
Data,185.0,778.78,24.84,41.17,0.94,245.23,40.59121,-105.14375,2311.7,2287.4,10.97,0.85,0.39,3.49
Data,186.0,778.47,24.82,41.20,0.96,242.90,40.59121,-105.14375,2315.3,2291.5,10.97,0.85,0.44,3.48
Data,187.0,778.16,24.81,41.20,0.98,240.85,40.59120,-105.14375,2318.8,2294.7,10.95,0.86,0.48,3.44
Data,188.0,777.85,24.79,41.20,1.00,239.10,40.59120,-105.14376,2322.2,2298.6,10.94,0.86,0.52,3.40
Data,189.0,777.55,24.78,41.20,1.03,237.57,40.59120,-105.14376,2325.6,2301.3,10.92,0.87,0.55,3.34
Data,190.0,777.26,24.76,41.23,1.06,236.23,40.59119,-105.14378,2328.9,2304.9,10.92,0.88,0.59,3.31
Data,191.0,776.97,24.74,41.27,1.09,235.02,40.59119,-105.14379,2332.1,2308.3,10.91,0.89,0.62,3.31
