FileFormat,CSV
Year,2021
Month,07
Day,20
Hour,18
Minute,25
Second,46
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"2971"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,Temperature,RH,Speed,Direction,Latitude,Longitude,altitude,sats,gpsalt,SNR,Voltage
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m,,m,,V
Data,   0.0, 846.70,34.47,28.80,  0.01,226.90, 40.58983,-105.14198,,7.000000, 1548.2,9.000000,1.561
Data,   1.0, 846.71,34.45,28.70,  0.06,226.90, 40.58983,-105.14198,,7.000000, 1548.2,9.000000,1.561
Data,   2.0, 846.29,34.44,28.40,  0.89,226.90, 40.58984,-105.14198,,7.000000, 1550.8,9.000000,1.555
Data,   3.0, 845.74,34.37,28.20,  3.29,270.40, 40.58985,-105.14201,,7.000000, 1555.2,9.000000,1.561
Data,   4.0, 845.37,34.29,28.10,  8.63,310.72, 40.58989,-105.14208,,7.000000, 1558.0,10.000000,1.561
Data,   5.0, 844.78,34.21,28.30,  7.17,355.16, 40.58995,-105.14211,,7.000000, 1563.6,10.000000,1.559
Data,   6.0, 844.10,34.14,28.40,  1.20,355.16, 40.58997,-105.14212,,7.000000, 1570.5,9.000000,1.559
Data,   7.0, 843.62,34.01,28.30,  3.26,326.19, 40.58995,-105.14213,,7.000000, 1577.1,10.000000,1.557
Data,   8.0, 842.99,33.93,28.40,  2.02,312.01, 40.58993,-105.14214,,7.000000, 1582.4,9.000000,1.561
Data,   9.0, 842.24,33.78,28.60,  3.89,289.40, 40.58994,-105.14218,,7.000000, 1589.2,9.000000,1.561
Data,  10.0, 841.61,33.64,28.80,  5.46,328.83, 40.58997,-105.14221,,7.000000, 1597.3,9.000000,1.559
Data,  11.0, 840.99,33.53,29.00,  8.86,306.12, 40.59001,-105.14228,,7.000000, 1601.9,9.000000,1.561
Data,  12.0, 840.48,33.37,28.90,  5.54,309.86, 40.59005,-105.14234,,7.000000, 1609.2,9.000000,1.561
Data,  13.0, 840.04,33.23,29.10,  3.48,287.98, 40.59005,-105.14237,,7.000000, 1616.2,9.000000,1.557
Data,  14.0, 839.49,33.08,29.50,  9.82,265.55, 40.59004,-105.14246,,7.000000, 1622.1,9.000000,1.561
Data,  15.0, 838.85,32.91,29.90,  7.80,313.48, 40.59007,-105.14255,,7.000000, 1628.5,9.000000,1.559
Data,  16.0, 838.30,32.77,30.30,  4.01,318.61, 40.59010,-105.14256,,7.000000, 1634.4,10.000000,1.561
Data,  17.0, 837.48,32.62,30.50,  2.23,103.98, 40.59012,-105.14253,,7.000000, 1642.7,9.000000,1.561
Data,  18.0, 836.93,32.47,30.60,  5.16,213.86, 40.59011,-105.14256,,7.000000, 1649.0,9.000000,1.561
Data,  19.0, 836.19,32.34,30.80, 10.26,273.28, 40.59011,-105.14266,,7.000000, 1655.5,9.000000,1.561
Data,  20.0, 835.56,32.17,30.90,  4.71,297.96, 40.59013,-105.14272,,7.000000, 1662.0,9.000000,1.561
Data,  21.0, 834.77,32.03,30.90,  5.69, 26.90, 40.59017,-105.14272,,7.000000, 1667.6,9.000000,1.561
Data,  22.0, 834.26,31.87,31.20,  4.63,334.01, 40.59022,-105.14272,,7.000000, 1676.4,9.000000,1.559
Data,  23.0, 833.52,31.72,31.40,  5.22,288.12, 40.59022,-105.14276,,7.000000, 1681.0,9.000000,1.561
Data,  24.0, 832.75,31.59,31.60,  8.20,275.06, 40.59022,-105.14285,,7.000000, 1688.1,10.000000,1.559
Data,  25.0, 832.38,31.45,31.60,  6.45,317.33, 40.59025,-105.14292,,7.000000, 1694.6,9.000000,1.561
