FileFormat,CSV
Year,2021
Month,06
Day,25
Hour,17
Minute,38
Second,00
Ascending,"true"
latitude,40.590000,"units=deg"
longitude,-105.141500,"units=deg"
altitude,1571.9,"units=m"
gpsaltitude,1571.9,"units=m"
project,"PRE-CIP-2021"
agency,"CSU"
sondeid,"1838"
sondetype,"Storm Tracker"
launchsite,"Christman Field"
Fields,Time,Pressure,temp,RH,Speed,Direction,Latitude,Longitude,gpsalt,sats
Units,sec,mb,deg C,%,m/s,deg,deg,deg,m
Data,   0.0, 840.34,24.95,46.30,  1.01, 59.13, 40.58999,-105.14160, 1554.9, 6
Data,   1.0, 840.38,24.95,46.60,  0.96,148.51, 40.58999,-105.14161, 1555.7, 6
Data,   2.0, 840.05,24.94,46.80,  1.15,148.51, 40.58998,-105.14160, 1556.2, 6
Data,   3.0, 839.39,24.87,46.60,  0.71,148.51, 40.58998,-105.14160, 1557.7, 6
Data,   4.0, 838.85,24.80,46.40,  5.10,277.03, 40.59001,-105.14163, 1561.9, 6
Data,   5.0, 838.43,24.74,46.20,  3.53,281.68, 40.59002,-105.14166, 1570.2, 6
Data,   6.0, 837.98,24.64,46.20,  6.49,316.32, 40.59005,-105.14171, 1575.4, 6
Data,   8.0, 836.81,24.41,46.30,  3.99,309.74, 40.59011,-105.14181, 1589.0, 6
Data,   9.0, 836.38,24.30,46.60,  0.82,309.74, 40.59012,-105.14181, 1595.2, 6
Data,  10.0, 835.64,24.15,47.00,  5.94,359.52, 40.59016,-105.14179, 1597.6, 6
Data,  11.0, 835.12,24.06,47.30,  8.53,349.18, 40.59023,-105.14179, 1602.7, 6
Data,  12.0, 834.85,23.90,47.70,  7.44,265.39, 40.59025,-105.14185, 1608.2, 6
Data,  13.0, 834.46,23.77,48.00,  8.18,262.77, 40.59024,-105.14195, 1610.5, 6
Data,  14.0, 834.16,23.64,48.40,  6.45,308.64, 40.59025,-105.14201, 1617.6, 6
Data,  15.0, 834.03,23.51,48.80,  9.68,329.45, 40.59031,-105.14207, 1623.3, 6
Data,  16.0, 833.70,23.41,49.20, 10.30,347.12, 40.59040,-105.14211, 1627.3, 6
Data,  17.0, 833.51,23.30,49.50,  6.56,354.64, 40.59047,-105.14213, 1631.2, 6
Data,  18.0, 833.23,23.20,49.90,  4.05,357.49, 40.59051,-105.14212, 1636.8, 6
Data,  19.0, 832.70,23.10,50.00,  4.14,  1.58, 40.59055,-105.14211, 1639.9, 6
Data,  21.0, 831.97,22.91,50.40,  2.15, 21.95, 40.59060,-105.14207, 1655.0, 6
Data,  22.0, 831.82,22.84,50.60,  0.74, 21.95, 40.59062,-105.14207, 1657.1, 6
Data,  23.0, 831.22,22.73,50.80,  3.90,157.29, 40.59060,-105.14210, 1658.0, 6
Data,  24.0, 830.75,22.63,51.00,  3.44,206.42, 40.59060,-105.14213, 1662.5, 6
Data,  25.0, 830.53,22.55,51.30,  5.17,337.59, 40.59062,-105.14216, 1668.3, 6
Data,  26.0, 829.97,22.46,51.60,  9.92,332.32, 40.59071,-105.14221, 1667.8, 6
Data,  27.0, 829.62,22.36,51.90,  9.94,316.24, 40.59078,-105.14228, 1669.4, 6
Data,  28.0, 829.38,22.31,52.10,  6.90,310.36, 40.59082,-105.14235, 1676.4, 6
Data,  29.0, 829.17,22.24,52.40,  1.73,310.03, 40.59084,-105.14237, 1679.0, 6
Data,  30.0, 828.60,22.15,52.60,  3.71, 50.56, 40.59084,-105.14236, 1680.8, 6
Data,  31.0, 828.03,22.08,52.80,  5.11, 57.92, 40.59085,-105.14231, 1684.0, 6
Data,  32.0, 827.70,22.00,52.90,  5.90,352.31, 40.59089,-105.14229, 1689.4, 6
Data,  33.0, 827.40,21.94,53.10,  8.70,321.59, 40.59093,-105.14231, 1698.3, 6
Data,  34.0, 826.82,21.86,53.30,  9.23,311.63, 40.59099,-105.14239, 1702.7, 6
Data,  35.0, 826.46,21.81,53.50,  4.30,307.69, 40.59101,-105.14245, 1706.7, 6
Data,  36.0, 825.91,21.74,53.70,  1.50,307.69, 40.59101,-105.14249, 1708.9, 6
Data,  37.0, 825.67,21.67,53.90,  1.87,307.69, 40.59100,-105.14247, 1717.1, 6
Data,  38.0, 825.45,21.60,54.10,  4.26,359.02, 40.59100,-105.14244, 1721.4, 6
Data,  39.0, 825.02,21.56,54.30,  4.09,  5.74, 40.59103,-105.14242, 1724.9, 6
Data,  40.0, 824.74,21.50,54.50,  7.17,337.53, 40.59108,-105.14244, 1728.6, 6
Data,  41.0, 824.31,21.44,54.70,  4.81,342.96, 40.59114,-105.14246, 1730.9, 6
Data,  42.0, 823.84,21.39,54.70,  4.12,318.16, 40.59117,-105.14251, 1732.7, 6
Data,  43.0, 823.50,21.35,54.70,  2.94,303.67, 40.59118,-105.14254, 1734.5, 6
Data,  44.0, 822.90,21.29,54.80,  0.66,303.67, 40.59117,-105.14255, 1737.9, 6
Data,  45.0, 822.52,21.26,54.90,  3.10,  7.23, 40.59119,-105.14254, 1739.7, 6
Data,  46.0, 822.09,21.21,55.00,  5.90,  7.53, 40.59124,-105.14254, 1741.6, 6
Data,  47.0, 821.45,21.16,55.00,  6.23,  5.82, 40.59129,-105.14252, 1745.1, 6
Data,  48.0, 821.02,21.11,55.10,  9.54,323.70, 40.59135,-105.14256, 1748.5, 6
Data,  49.0, 820.68,21.08,54.90,  7.73,299.41, 40.59139,-105.14264, 1752.2, 6
Data,  50.0, 820.17,21.02,54.80,  3.63,295.00, 40.59140,-105.14269, 1756.1, 6
Data,  51.0, 819.72,20.99,54.70,  1.02,295.00, 40.59140,-105.14271, 1760.5, 6
Data,  52.0, 819.28,20.96,54.70,  0.30,295.00, 40.59139,-105.14271, 1766.2, 6
Data,  53.0, 818.71,20.91,54.70,  3.75,310.55, 40.59141,-105.14273, 1770.7, 6
Data,  54.0, 818.20,20.87,54.80,  7.34,316.07, 40.59145,-105.14279, 1776.8, 6
Data,  55.0, 817.92,20.84,55.10,  7.48,295.82, 40.59149,-105.14286, 1780.8, 6
Data,  56.0, 817.65,20.80,55.50,  8.17,276.18, 40.59150,-105.14295, 1784.6, 6
Data,  57.0, 817.08,20.77,55.70,  4.41,275.54, 40.59150,-105.14301, 1788.2, 6
Data,  58.0, 816.77,20.75,55.80,  2.64,257.42, 40.59150,-105.14305, 1791.5, 6
Data,  59.0, 816.49,20.70,55.80,  0.76,257.42, 40.59149,-105.14307, 1795.5, 6
Data,  60.0, 816.02,20.68,55.90,  2.21,289.69, 40.59150,-105.14308, 1799.2, 6
Data,  61.0, 815.47,20.63,55.80,  6.79,320.38, 40.59153,-105.14313, 1805.8, 6
Data,  62.0, 814.99,20.58,56.10,  7.71,309.82, 40.59157,-105.14319, 1812.9, 6
Data,  63.0, 814.55,20.55,56.30,  6.73,296.60, 40.59160,-105.14326, 1818.9, 6
Data,  64.0, 813.95,20.49,56.50,  4.85,292.40, 40.59162,-105.14333, 1824.8, 6
Data,  65.0, 813.59,20.47,56.70,  1.49,291.52, 40.59163,-105.14336, 1830.3, 6
Data,  66.0, 813.14,20.42,56.80,  1.77,298.69, 40.59163,-105.14338, 1833.3, 6
Data,  67.0, 812.67,20.38,56.90,  2.67,306.69, 40.59164,-105.14340, 1839.3, 6
Data,  68.0, 812.22,20.35,57.00,  4.27,306.62, 40.59166,-105.14343, 1843.7, 6
Data,  69.0, 811.78,20.29,57.10,  5.90,298.75, 40.59168,-105.14349, 1847.6, 6
Data,  70.0, 811.38,20.28,57.40,  4.36,274.53, 40.59168,-105.14355, 1852.2, 6
Data,  71.0, 811.09,20.26,57.60,  3.23,274.84, 40.59168,-105.14359, 1855.7, 6
Data,  72.0, 810.66,20.23,57.60,  3.15,280.41, 40.59168,-105.14363, 1859.2, 6
Data,  73.0, 810.02,20.19,57.80,  2.94,304.69, 40.59169,-105.14365, 1864.2, 6
Data,  74.0, 809.46,20.12,57.60,  5.32,331.03, 40.59172,-105.14367, 1870.9, 6
Data,  75.0, 809.01,20.09,56.30,  6.21,314.91, 40.59176,-105.14372, 1876.6, 6
Data,  76.0, 808.59,20.06,55.50,  4.51,311.46, 40.59179,-105.14377, 1882.3, 6
Data,  77.0, 808.25,20.03,55.10,  3.51,303.74, 40.59180,-105.14381, 1886.7, 6
Data,  78.0, 807.83,20.01,54.40,  2.55,293.30, 40.59181,-105.14384, 1890.7, 6
Data,  79.0, 807.35,19.95,53.20,  1.05,293.30, 40.59181,-105.14387, 1895.0, 6
Data,  80.0, 807.03,19.93,52.50,  1.32,317.71, 40.59181,-105.14387, 1900.1, 6
Data,  81.0, 806.76,19.92,51.50,  3.14,303.88, 40.59183,-105.14388, 1905.2, 6
Data,  82.0, 806.30,19.89,49.70,  3.64,314.07, 40.59184,-105.14391, 1908.8, 6
